Age,Education Level,Job Title,Years of Experience,Salary
41,PhD,Manager,12,129642
40,Bachelor's,Manager,10,96627
58,Master's,Data Analyst,22,87049
28,High School,Sales Representative,3,35531
39,Master's,Sales Representative,15,70012
48,High School,Software Engineer,17,63477
60,PhD,Software Engineer,28,115692
34,PhD,Data Analyst,8,100169
31,Bachelor's,Manager,7,97865
31,High School,Software Engineer,3,49718
30,Bachelor's,Sales Representative,5,51360
48,High School,Software Engineer,20,54804
26,High School,Manager,1,67820
44,High School,Manager,14,71485
55,Master's,Manager,21,106862
25,Bachelor's,Sales Representative,4,41044
39,Bachelor's,Software Engineer,9,86562
30,Master's,Data Analyst,8,98815
27,High School,Data Analyst,1,40557
32,Bachelor's,Data Analyst,10,48635
23,PhD,Sales Representative,4,59298
53,High School,Manager,18,64377
58,Bachelor's,Sales Representative,22,60687
25,High School,Software Engineer,1,42144
23,PhD,Sales Representative,1,61096
23,Bachelor's,Software Engineer,1,63673
55,High School,Software Engineer,19,60653
46,High School,Software Engineer,16,67455
49,High School,Manager,12,63045
39,High School,Data Analyst,14,51619
53,High School,Manager,21,62362
35,High School,Software Engineer,6,60745
52,PhD,Manager,14,113068
46,PhD,Sales Representative,14,74161
30,Bachelor's,Manager,5,84329
27,Bachelor's,Sales Representative,2,33573
51,PhD,Sales Representative,18,67603
34,PhD,Software Engineer,7,94015
34,PhD,Data Analyst,11,97377
41,High School,Data Analyst,13,59450
37,Bachelor's,Sales Representative,7,44107
26,PhD,Data Analyst,4,89446
28,Master's,Sales Representative,6,42461
55,Master's,Sales Representative,22,70335
50,High School,Sales Representative,15,37494
57,PhD,Sales Representative,21,80088
54,Master's,Software Engineer,20,110597
43,PhD,Sales Representative,15,63275
32,PhD,Sales Representative,10,75537
21,Bachelor's,Manager,0,71330
45,Bachelor's,Sales Representative,14,46568
58,PhD,Sales Representative,23,68348
25,High School,Manager,0,49555
22,High School,Software Engineer,2,41968
55,Bachelor's,Manager,19,96900
47,Bachelor's,Data Analyst,16,81069
40,High School,Software Engineer,12,57546
22,Bachelor's,Sales Representative,2,37498
60,PhD,Software Engineer,23,138085
28,High School,Sales Representative,4,37188
59,PhD,Software Engineer,22,112748
27,PhD,Manager,5,117758
35,PhD,Sales Representative,8,66375
59,Bachelor's,Manager,22,88519
53,PhD,Data Analyst,19,103836
45,PhD,Data Analyst,16,112207
33,Master's,Sales Representative,10,62752
52,Master's,Manager,19,120755
51,Master's,Software Engineer,21,116354
27,Bachelor's,Data Analyst,3,53974
59,Bachelor's,Software Engineer,25,99929
47,Bachelor's,Data Analyst,14,57206
26,Master's,Manager,0,104643
53,Master's,Data Analyst,20,80206
37,Bachelor's,Manager,6,88758
53,High School,Manager,18,64745
45,Bachelor's,Sales Representative,15,53850
54,PhD,Data Analyst,20,114524
23,Master's,Sales Representative,0,49032
29,High School,Data Analyst,6,44622
57,High School,Software Engineer,18,60680
31,Master's,Data Analyst,10,77448
59,Master's,Data Analyst,22,109685
57,High School,Manager,21,66085
48,Bachelor's,Data Analyst,19,85030
52,PhD,Manager,21,132773
48,Bachelor's,Sales Representative,14,55129
60,PhD,Software Engineer,22,114077
56,Master's,Manager,23,115653
36,Bachelor's,Sales Representative,10,47819
57,PhD,Software Engineer,19,127342
44,Master's,Software Engineer,11,100273
59,High School,Manager,21,66181
24,Master's,Data Analyst,2,73370
21,Bachelor's,Software Engineer,0,92172
39,PhD,Data Analyst,10,91421
55,Bachelor's,Manager,18,86113
38,PhD,Data Analyst,12,108106
32,PhD,Sales Representative,3,62248
35,PhD,Manager,4,110410
42,PhD,Manager,14,108958
38,Master's,Manager,10,119563
43,PhD,Manager,9,127134
48,High School,Manager,15,74818
48,PhD,Manager,17,133271
42,High School,Sales Representative,14,42878
55,PhD,Data Analyst,20,89250
42,PhD,Manager,12,130265
41,High School,Sales Representative,10,45365
40,Bachelor's,Data Analyst,13,61028
24,Bachelor's,Manager,3,76024
22,PhD,Sales Representative,0,74716
30,Bachelor's,Data Analyst,6,66940
42,Master's,Manager,11,117447
29,High School,Data Analyst,5,47508
42,High School,Manager,10,63920
57,PhD,Software Engineer,22,135855
47,PhD,Software Engineer,15,100707
35,Bachelor's,Manager,9,81832
55,PhD,Software Engineer,19,109682
55,Master's,Manager,19,100822
56,Master's,Sales Representative,20,57339
25,PhD,Data Analyst,1,87974
27,PhD,Software Engineer,5,110501
37,Master's,Sales Representative,11,52542
33,PhD,Manager,5,115462
41,Bachelor's,Sales Representative,13,54081
36,PhD,Sales Representative,9,59861
32,Master's,Manager,9,106098
33,High School,Sales Representative,6,39361
49,High School,Sales Representative,17,36355
38,PhD,Software Engineer,11,110351
28,Master's,Sales Representative,2,58832
44,Bachelor's,Manager,15,86401
41,PhD,Software Engineer,9,129545
23,High School,Sales Representative,0,41948
45,High School,Software Engineer,11,60304
21,PhD,Sales Representative,0,66222
44,Bachelor's,Software Engineer,11,72649
49,PhD,Manager,17,128712
32,PhD,Software Engineer,7,95447
48,Master's,Data Analyst,15,91234
48,PhD,Software Engineer,17,99384
35,Master's,Sales Representative,9,58107
37,High School,Sales Representative,11,39509
45,Master's,Sales Representative,13,60161
51,Master's,Data Analyst,22,106939
42,High School,Data Analyst,15,54301
23,Master's,Data Analyst,1,84775
35,High School,Software Engineer,6,60932
40,PhD,Data Analyst,9,100543
28,PhD,Software Engineer,5,129790
50,High School,Sales Representative,17,45947
49,Master's,Sales Representative,17,52544
35,Bachelor's,Software Engineer,5,80159
31,High School,Software Engineer,6,52165
46,High School,Sales Representative,16,44721
54,Master's,Software Engineer,19,113606
25,Bachelor's,Manager,4,96033
43,High School,Sales Representative,17,43261
54,PhD,Sales Representative,16,74302
37,PhD,Manager,9,125873
42,Bachelor's,Software Engineer,12,96945
40,Master's,Manager,13,114011
30,Bachelor's,Software Engineer,5,77995
40,Master's,Sales Representative,15,60086
25,Master's,Manager,3,95400
24,PhD,Data Analyst,1,87444
59,Bachelor's,Manager,21,89306
47,Master's,Manager,20,122762
51,High School,Sales Representative,17,44206
44,PhD,Data Analyst,15,90324
21,High School,Sales Representative,2,24757
50,High School,Data Analyst,13,49117
29,Master's,Software Engineer,2,117618
38,Master's,Software Engineer,11,110125
50,Master's,Software Engineer,15,96440
48,High School,Software Engineer,17,52403
50,PhD,Data Analyst,18,112147
47,Master's,Data Analyst,14,96531
35,PhD,Sales Representative,7,60320
56,Master's,Software Engineer,21,102035
33,PhD,Software Engineer,4,120784
52,High School,Software Engineer,19,62487
57,High School,Software Engineer,25,53489
44,Bachelor's,Sales Representative,14,58440
49,Bachelor's,Sales Representative,17,52125
26,High School,Manager,3,63708
58,PhD,Sales Representative,26,69157
46,High School,Software Engineer,14,59937
36,Bachelor's,Software Engineer,12,81709
54,Master's,Software Engineer,22,115530
50,Master's,Software Engineer,17,90436
24,Bachelor's,Manager,3,88888
42,Bachelor's,Sales Representative,15,49772
21,Master's,Manager,2,116255
60,Bachelor's,Manager,22,101695
23,High School,Sales Representative,0,37977
29,Master's,Data Analyst,2,74512
39,Bachelor's,Software Engineer,11,67832
40,Master's,Sales Representative,12,56685
28,Master's,Manager,4,120475
36,PhD,Sales Representative,12,54224
25,Bachelor's,Data Analyst,3,56954
22,High School,Data Analyst,0,43522
33,PhD,Sales Representative,10,60705
51,PhD,Manager,19,116894
55,High School,Data Analyst,19,50855
23,PhD,Sales Representative,5,56198
28,Bachelor's,Software Engineer,1,78493
41,Bachelor's,Manager,10,87474
35,PhD,Manager,9,104348
58,PhD,Manager,23,131268
25,Bachelor's,Software Engineer,2,74864
32,Bachelor's,Sales Representative,9,43721
42,High School,Software Engineer,10,52704
45,PhD,Software Engineer,12,122384
42,Master's,Data Analyst,12,106745
45,Bachelor's,Data Analyst,16,74715
23,PhD,Manager,0,125068
27,Bachelor's,Data Analyst,0,51670
44,High School,Manager,15,64727
47,High School,Sales Representative,19,44799
49,Bachelor's,Data Analyst,15,61890
47,Bachelor's,Data Analyst,14,75455
25,PhD,Sales Representative,3,69598
41,Master's,Manager,10,115032
29,PhD,Sales Representative,7,66640
46,High School,Manager,13,59578
47,Master's,Data Analyst,13,94514
36,Bachelor's,Data Analyst,9,75246
21,Bachelor's,Sales Representative,1,41917
48,PhD,Manager,15,128372
33,Bachelor's,Manager,8,91168
59,Master's,Manager,20,106363
25,Bachelor's,Software Engineer,3,75141
41,PhD,Data Analyst,11,88339
34,High School,Sales Representative,8,29660
59,PhD,Manager,19,139420
29,Bachelor's,Manager,6,79522
30,Master's,Sales Representative,4,56060
30,Bachelor's,Software Engineer,5,75902
40,High School,Software Engineer,11,60552
35,High School,Sales Representative,6,36269
52,Master's,Manager,21,99108
32,High School,Software Engineer,8,45421
26,Master's,Manager,2,96100
22,Bachelor's,Manager,3,72331
45,PhD,Manager,20,115860
30,High School,Data Analyst,3,51397
53,Bachelor's,Software Engineer,20,66250
34,Bachelor's,Data Analyst,10,64431
55,Bachelor's,Sales Representative,23,58701
55,Bachelor's,Sales Representative,20,53043
60,Master's,Data Analyst,26,95213
23,PhD,Data Analyst,0,85360
36,Master's,Sales Representative,9,52030
32,Master's,Manager,6,112479
52,Master's,Software Engineer,17,98861
42,High School,Software Engineer,13,57896
35,Bachelor's,Data Analyst,8,76298
41,Bachelor's,Manager,11,85908
41,PhD,Sales Representative,7,72392
54,PhD,Data Analyst,21,90546
49,High School,Sales Representative,16,46401
42,High School,Software Engineer,16,47124
38,High School,Manager,12,54583
60,High School,Data Analyst,23,56165
30,High School,Data Analyst,2,49652
40,Master's,Sales Representative,11,57896
43,Bachelor's,Software Engineer,13,96155
39,Master's,Data Analyst,11,82551
58,PhD,Manager,25,144660
23,Master's,Data Analyst,0,78986
54,Bachelor's,Manager,20,84980
55,PhD,Software Engineer,21,133294
42,Bachelor's,Sales Representative,11,54284
57,PhD,Manager,21,134606
49,High School,Sales Representative,17,45479
21,Master's,Manager,0,92173
40,PhD,Data Analyst,12,93451
54,PhD,Software Engineer,18,122877
50,Master's,Manager,15,117372
27,Master's,Software Engineer,8,96908
24,Bachelor's,Manager,0,92130
58,High School,Data Analyst,24,57233
27,PhD,Manager,2,116827
21,Bachelor's,Sales Representative,0,38766
52,Master's,Data Analyst,21,89441
57,Master's,Sales Representative,19,63882
29,Bachelor's,Data Analyst,9,71849
40,High School,Manager,12,63720
32,Master's,Software Engineer,8,110812
27,Master's,Data Analyst,0,97329
22,Master's,Software Engineer,2,90050
27,Bachelor's,Software Engineer,5,67593
25,Bachelor's,Manager,3,76782
31,High School,Manager,8,53561
29,PhD,Data Analyst,4,82514
51,High School,Software Engineer,17,58005
44,High School,Software Engineer,12,64837
41,Master's,Sales Representative,9,55138
46,Bachelor's,Sales Representative,14,42349
45,PhD,Manager,14,130988
49,High School,Manager,15,70066
49,High School,Manager,15,56965
57,Bachelor's,Sales Representative,22,55147
25,Master's,Manager,0,110298
37,PhD,Data Analyst,9,96436
58,PhD,Software Engineer,21,131958
51,Master's,Sales Representative,21,64683
30,Bachelor's,Manager,5,73280
41,Bachelor's,Software Engineer,13,80334
57,PhD,Software Engineer,22,133078
31,Bachelor's,Manager,5,82549
57,Bachelor's,Sales Representative,22,44496
60,Master's,Data Analyst,20,84336
29,Bachelor's,Data Analyst,4,63769
21,PhD,Sales Representative,0,63777
47,Bachelor's,Data Analyst,18,58531
53,High School,Manager,21,73016
56,Master's,Data Analyst,21,84939
26,PhD,Manager,3,106394
30,PhD,Sales Representative,5,54470
35,Bachelor's,Data Analyst,7,57315
32,Master's,Software Engineer,5,95365
50,Master's,Manager,21,111052
49,Bachelor's,Software Engineer,16,85400
28,PhD,Manager,3,118095
28,Master's,Data Analyst,5,91922
30,Master's,Sales Representative,8,55265
27,High School,Sales Representative,3,35855
29,PhD,Manager,5,113860
48,Master's,Data Analyst,18,98993
44,High School,Sales Representative,14,44182
40,PhD,Manager,14,111116
58,Bachelor's,Data Analyst,23,65290
42,Bachelor's,Data Analyst,13,71559
48,High School,Data Analyst,16,52806
46,PhD,Data Analyst,15,92899
58,Bachelor's,Sales Representative,21,55207
51,High School,Software Engineer,17,61014
49,High School,Data Analyst,14,50605
47,High School,Sales Representative,17,43207
42,High School,Manager,14,64541
46,Bachelor's,Data Analyst,15,62733
41,PhD,Manager,12,132468
56,PhD,Software Engineer,21,105508
48,PhD,Software Engineer,17,113503
22,High School,Manager,0,63575
34,Master's,Data Analyst,7,74657
27,Bachelor's,Software Engineer,6,72768
34,PhD,Software Engineer,7,124073
23,Master's,Data Analyst,0,69077
37,Bachelor's,Manager,6,82150
38,Bachelor's,Data Analyst,9,73470
36,Bachelor's,Data Analyst,12,60023
56,PhD,Sales Representative,21,75484
42,Master's,Data Analyst,15,93960
33,PhD,Manager,6,118192
60,Master's,Manager,22,122557
24,High School,Software Engineer,2,46764
27,Bachelor's,Manager,3,91995
31,PhD,Data Analyst,6,93286
37,Master's,Manager,14,102723
49,High School,Sales Representative,17,36159
29,Master's,Manager,5,115515
23,Bachelor's,Sales Representative,4,40668
28,High School,Sales Representative,4,44427
54,High School,Sales Representative,24,49163
52,Bachelor's,Sales Representative,18,48948
32,Bachelor's,Manager,4,92094
51,Bachelor's,Manager,22,95440
25,PhD,Data Analyst,3,105589
29,Bachelor's,Manager,6,75452
23,PhD,Data Analyst,2,102296
38,High School,Data Analyst,7,40568
49,Master's,Sales Representative,15,57548
34,Master's,Data Analyst,3,87008
38,Master's,Manager,10,91884
39,High School,Sales Representative,9,40184
48,High School,Manager,14,59315
50,PhD,Data Analyst,17,114865
22,Bachelor's,Software Engineer,0,76779
55,Bachelor's,Data Analyst,18,60028
54,Master's,Manager,18,98144
52,Master's,Data Analyst,18,111761
27,PhD,Software Engineer,1,116401
57,Bachelor's,Manager,21,94468
43,High School,Data Analyst,12,43042
52,PhD,Manager,17,128955
56,Master's,Manager,23,115468
50,Master's,Manager,17,125752
48,Bachelor's,Software Engineer,17,68381
55,Master's,Sales Representative,19,64077
37,Master's,Manager,11,121288
56,Master's,Sales Representative,21,53408
60,High School,Data Analyst,20,59296
44,Bachelor's,Software Engineer,15,98910
40,High School,Manager,10,64734
36,PhD,Software Engineer,8,119382
30,Master's,Manager,9,119573
59,High School,Software Engineer,22,69019
56,Bachelor's,Sales Representative,22,54103
58,PhD,Data Analyst,20,106760
54,PhD,Sales Representative,20,66987
32,PhD,Sales Representative,6,62237
30,High School,Manager,8,74463
56,High School,Sales Representative,18,40446
39,Bachelor's,Manager,9,84114
41,PhD,Manager,14,132207
51,Bachelor's,Software Engineer,18,75207
45,Bachelor's,Sales Representative,14,44044
25,High School,Data Analyst,1,47472
53,Master's,Software Engineer,18,103045
57,High School,Data Analyst,20,59340
60,Bachelor's,Manager,23,87279
46,Bachelor's,Sales Representative,14,49400
35,High School,Data Analyst,8,45859
23,High School,Manager,0,64596
35,Bachelor's,Software Engineer,6,78333
37,High School,Software Engineer,11,52385
58,High School,Sales Representative,22,51055
24,Master's,Software Engineer,3,91976
48,Bachelor's,Data Analyst,17,70743
48,High School,Data Analyst,14,57722
25,High School,Sales Representative,1,32815
25,Bachelor's,Software Engineer,4,87047
54,PhD,Manager,17,113781
26,PhD,Manager,2,107120
31,PhD,Sales Representative,3,47022
35,Bachelor's,Software Engineer,13,79906
46,High School,Data Analyst,16,61768
30,Master's,Manager,5,106683
46,Master's,Data Analyst,14,94829
49,Bachelor's,Manager,17,89376
55,Bachelor's,Manager,20,93483
60,PhD,Data Analyst,24,116846
52,High School,Software Engineer,20,54795
59,PhD,Software Engineer,21,117903
59,Bachelor's,Software Engineer,21,67102
29,PhD,Sales Representative,4,72105
38,PhD,Data Analyst,13,113039
34,Bachelor's,Manager,7,86764
50,Master's,Sales Representative,19,60193
51,PhD,Software Engineer,17,110904
55,Bachelor's,Sales Representative,23,46578
51,High School,Data Analyst,18,52783
52,PhD,Data Analyst,19,99751
54,High School,Software Engineer,21,52096
37,High School,Manager,13,59852
34,PhD,Manager,8,132718
38,PhD,Manager,12,111823
49,Master's,Software Engineer,14,105020
24,High School,Software Engineer,1,46451
28,Master's,Sales Representative,3,50642
30,High School,Manager,6,73237
22,Master's,Data Analyst,4,73881
25,Bachelor's,Data Analyst,3,66235
60,High School,Data Analyst,26,53814
43,Bachelor's,Data Analyst,10,66045
26,Master's,Sales Representative,5,56075
42,Master's,Data Analyst,14,84364
29,High School,Sales Representative,6,30540
55,PhD,Data Analyst,22,99205
41,Bachelor's,Sales Representative,12,48203
31,PhD,Software Engineer,5,95664
47,Bachelor's,Software Engineer,17,80891
27,PhD,Data Analyst,3,95357
21,Master's,Data Analyst,0,94018
59,Master's,Sales Representative,20,53146
41,Master's,Data Analyst,11,98667
47,PhD,Data Analyst,15,115606
22,Master's,Sales Representative,0,48087
29,Master's,Software Engineer,1,87447
33,Bachelor's,Data Analyst,7,65131
40,PhD,Manager,14,131093
42,Bachelor's,Data Analyst,13,70551
49,PhD,Sales Representative,18,73678
52,PhD,Manager,19,127508
23,Master's,Manager,1,98703
55,Master's,Software Engineer,22,116626
58,High School,Software Engineer,22,67492
23,High School,Software Engineer,5,56243
46,Bachelor's,Data Analyst,14,85268
34,Master's,Software Engineer,8,93204
46,High School,Manager,11,60616
51,Bachelor's,Software Engineer,17,85214
22,PhD,Software Engineer,0,92579
46,Master's,Sales Representative,16,61226
58,Bachelor's,Data Analyst,22,79886
55,Master's,Sales Representative,22,68488
47,Bachelor's,Sales Representative,12,53906
57,High School,Manager,20,61010
49,Bachelor's,Manager,18,87333
50,PhD,Manager,19,123191
60,PhD,Manager,22,122033
21,Bachelor's,Software Engineer,0,65011
41,Master's,Data Analyst,13,97558
59,High School,Manager,23,65147
41,High School,Manager,13,70524
22,Bachelor's,Data Analyst,0,62964
23,Master's,Sales Representative,2,48834
37,Master's,Data Analyst,7,92328
29,Bachelor's,Manager,3,89345
55,PhD,Manager,20,106372
46,PhD,Manager,16,134525
51,PhD,Software Engineer,20,130824
34,Bachelor's,Data Analyst,5,63368
32,Master's,Manager,10,98464
47,High School,Manager,13,54686
53,PhD,Data Analyst,18,112548
52,Bachelor's,Software Engineer,19,88878
34,High School,Software Engineer,9,61060
52,Bachelor's,Data Analyst,20,84842
34,High School,Data Analyst,7,42753
25,PhD,Software Engineer,5,102429
35,High School,Data Analyst,8,52509
31,High School,Sales Representative,4,38452
24,PhD,Software Engineer,0,120176
57,High School,Software Engineer,21,55111
55,Bachelor's,Manager,23,99624
42,Master's,Data Analyst,11,91558
41,Bachelor's,Data Analyst,16,60597
54,Bachelor's,Sales Representative,21,55887
33,Bachelor's,Sales Representative,9,51808
36,Bachelor's,Manager,11,94840
35,Master's,Software Engineer,11,106840
50,Master's,Data Analyst,18,94874
39,PhD,Software Engineer,7,105157
47,Master's,Software Engineer,15,101277
22,PhD,Sales Representative,0,60987
40,Master's,Data Analyst,12,76400
24,High School,Sales Representative,5,43380
41,High School,Sales Representative,13,44096
48,High School,Manager,16,76959
36,Master's,Sales Representative,8,61685
25,PhD,Data Analyst,2,84640
57,Bachelor's,Software Engineer,20,69899
25,High School,Sales Representative,2,30386
35,PhD,Data Analyst,10,91338
25,Bachelor's,Manager,0,85935
53,High School,Software Engineer,24,54267
60,PhD,Sales Representative,22,67937
34,Bachelor's,Sales Representative,3,53800
25,Bachelor's,Data Analyst,2,70438
43,High School,Manager,12,56133
54,High School,Sales Representative,18,50292
28,PhD,Data Analyst,6,92558
25,PhD,Sales Representative,2,66502
25,PhD,Manager,3,124559
58,Bachelor's,Sales Representative,23,58948
31,PhD,Manager,6,112562
21,Master's,Sales Representative,0,57514
54,Bachelor's,Software Engineer,23,84606
38,Bachelor's,Data Analyst,10,59252
47,High School,Software Engineer,16,51607
54,Master's,Data Analyst,17,110167
53,Master's,Sales Representative,22,59204
28,Bachelor's,Data Analyst,3,65633
46,Master's,Sales Representative,18,64367
53,High School,Software Engineer,18,68154
42,High School,Software Engineer,9,62628
37,PhD,Data Analyst,9,105079
55,Bachelor's,Software Engineer,23,89770
40,Master's,Sales Representative,8,65771
51,High School,Data Analyst,19,52276
33,High School,Manager,10,58410
54,Master's,Sales Representative,20,73060
45,Master's,Manager,16,124846
21,Master's,Data Analyst,0,86619
50,Master's,Manager,18,114292
21,PhD,Data Analyst,1,100608
50,Bachelor's,Sales Representative,19,43292
55,Bachelor's,Sales Representative,21,62384
60,Master's,Software Engineer,24,89533
22,Master's,Sales Representative,0,49027
43,PhD,Data Analyst,14,95471
37,High School,Data Analyst,10,44009
52,High School,Manager,18,74469
47,PhD,Data Analyst,15,108463
21,PhD,Sales Representative,0,65599
41,PhD,Software Engineer,12,98171
